State,Year,Recalls
Ohio,2024,200
California,2024,198
Illinois,2024,156
Maryland,2024,105
Oregon,2024,102
Wisconsin,2024,74
New York,2024,73
New Jersey,2024,69
Florida,2024,59
Connecticut,2024,51
Kansas,2024,44
Texas,2024,40
Iowa,2024,38
North Carolina,2024,32
Arizona,2024,27
Washington,2024,26
Georgia,2024,25
Minnesota,2024,24
Tennessee,2024,23
Pennsylvania,2024,21
UNKNOWN,2024,17
Virginia,2024,14
Colorado,2024,14
Michigan,2024,13
Idaho,2024,12
Massachusetts,2024,12
Arkansas,2024,9
Utah,2024,8
Indiana,2024,8
Alabama,2024,7
Puerto Rico,2024,6
Missouri,2024,5
Hawaii,2024,5
Nebraska,2024,3
Nevada,2024,3
South Dakota,2024,3
Vermont,2024,2
Kentucky,2024,2
Maine,2024,2
Mississippi,2024,2
South Carolina,2024,1
New Mexico,2024,1
Rhode Island,2024,1
West Virginia,2024,1
Oklahoma,2024,1
California,2025,321
New York,2025,142
Texas,2025,126
North Carolina,2025,93
New Jersey,2025,92
Indiana,2025,68
Ohio,2025,56
Washington,2025,54
Illinois,2025,48
Tennessee,2025,44
Pennsylvania,2025,42
Oregon,2025,42
Iowa,2025,42
Florida,2025,41
Georgia,2025,40
UNKNOWN,2025,37
Minnesota,2025,34
Idaho,2025,33
Rhode Island,2025,31
Utah,2025,23
Michigan,2025,20
Maryland,2025,19
Connecticut,2025,16
Colorado,2025,15
Arkansas,2025,12
Missouri,2025,10
Virginia,2025,10
Arizona,2025,10
Massachusetts,2025,9
Wisconsin,2025,7
Kentucky,2025,6
Hawaii,2025,5
Wyoming,2025,4
Kansas,2025,4
Alabama,2025,3
New Mexico,2025,3
Maine,2025,3
New Hampshire,2025,2
South Carolina,2025,2
Delaware,2025,1
Nebraska,2025,1
District of Columbia,2025,1
Vermont,2025,1
Mississippi,2025,1
Oklahoma,2025,1
Nevada,2025,1
